"tag_ID"	"timestamp_simple"	"fix_number"	"timestamp"	"satellites"	"latitude"	"longitude"	"elevation"	"battery"	"ring"	"sex"	"code"	"optional"
"1"	"NF55833"	2021-05-14	"01"	2021-05-14 01:00:12	6	38.76145	-8.946626	104.5	4.06	"P01902"	"F"	"NA"	TRUE
"2"	"NF55833"	2021-05-14	"02"	2021-05-14 05:00:12	8	38.744458	-8.97563	35.5	4.06	"P01902"	"F"	"NA"	TRUE
"3"	"NF55833"	2021-05-14	"03"	2021-05-14 09:00:12	7	38.749255	-8.973892	66.25	4.04	"P01902"	"F"	"NA"	TRUE
"4"	"NF55833"	2021-05-14	"04"	2021-05-14 13:00:13	7	38.748568	-8.972925	34.5	4.06	"P01902"	"F"	"NA"	TRUE
"5"	"NF55833"	2021-05-14	"05"	2021-05-14 17:00:13	7	38.744419	-8.975642	39.5	4.08	"P01902"	"F"	"NA"	TRUE
"6"	"NF55833"	2021-05-14	"06"	2021-05-14 21:00:13	7	38.761528	-8.946335	72	4.06	"P01902"	"F"	"NA"	TRUE
"7"	"NF55833"	2021-05-15	"07"	2021-05-15 01:00:13	7	38.761392	-8.946399	60.75	4.06	"P01902"	"F"	"NA"	TRUE
"8"	"NF55833"	2021-05-15	"08"	2021-05-15 05:00:13	8	38.744321	-8.975684	20.25	4.06	"P01902"	"F"	"NA"	TRUE
"9"	"NF55833"	2021-05-15	"09"	2021-05-15 09:00:19	5	38.748577	-8.974161	57.5	4.06	"P01902"	"F"	"NA"	TRUE
"10"	"NF55833"	2021-05-15	"10"	2021-05-15 13:00:13	7	38.744537	-8.97556	29.75	4.06	"P01902"	"F"	"NA"	TRUE
"11"	"NF55833"	2021-05-15	"11"	2021-05-15 17:00:14	7	38.744433	-8.975753	16	4.06	"P01902"	"F"	"NA"	TRUE
"12"	"NF55833"	2021-05-15	"12"	2021-05-15 21:00:14	8	38.761932	-8.945558	57.25	4.04	"P01902"	"F"	"NA"	TRUE
"13"	"NF55833"	2021-05-16	"13"	2021-05-16 01:00:14	7	38.761577	-8.946487	63.25	4.06	"P01902"	"F"	"NA"	TRUE
"14"	"NF55833"	2021-05-16	"14"	2021-05-16 05:00:14	8	38.744511	-8.975686	35.75	4.04	"P01902"	"F"	"NA"	TRUE
"15"	"NF55833"	2021-05-16	"15"	2021-05-16 09:00:14	6	38.744528	-8.975374	62.5	4.04	"P01902"	"F"	"NA"	TRUE
"16"	"NF55833"	2021-05-16	"16"	2021-05-16 13:00:14	6	38.744581	-8.975577	36	4.06	"P01902"	"F"	"NA"	TRUE
"17"	"NF55833"	2021-05-16	"17"	2021-05-16 17:00:14	8	38.743983	-8.976171	44.25	4.04	"P01902"	"F"	"NA"	TRUE
"18"	"NF55833"	2021-05-16	"18"	2021-05-16 21:00:16	6	38.761545	-8.946197	29.75	4.04	"P01902"	"F"	"NA"	TRUE
"19"	"NF55833"	2021-05-17	"19"	2021-05-17 01:00:14	8	38.761936	-8.946269	38	4.04	"P01902"	"F"	"NA"	TRUE
"20"	"NF55833"	2021-05-17	"20"	2021-05-17 05:00:15	8	38.744375	-8.975676	20.25	4.04	"P01902"	"F"	"NA"	TRUE
"21"	"NF55833"	2021-05-17	"21"	2021-05-17 09:00:15	7	38.744437	-8.975567	62.25	4.02	"P01902"	"F"	"NA"	TRUE
"22"	"NF55833"	2021-05-17	"22"	2021-05-17 13:00:18	8	38.744593	-8.975655	42.5	4.06	"P01902"	"F"	"NA"	TRUE
"23"	"NF55833"	2021-05-17	"23"	2021-05-17 17:00:15	8	38.744326	-8.976456	43	4.06	"P01902"	"F"	"NA"	TRUE
"24"	"NF55833"	2021-05-17	"24"	2021-05-17 21:00:15	8	38.744481	-8.975638	56.25	4.04	"P01902"	"F"	"NA"	TRUE
"25"	"NF55833"	2021-05-18	"25"	2021-05-18 01:00:15	7	38.761561	-8.946446	61.5	4.02	"P01902"	"F"	"NA"	TRUE
"26"	"NF55833"	2021-05-18	"26"	2021-05-18 05:00:15	7	38.744411	-8.975588	32.5	4.02	"P01902"	"F"	"NA"	TRUE
"27"	"NF55833"	2021-05-18	"27"	2021-05-18 09:00:23	5	38.744388	-8.975725	63.5	4.04	"P01902"	"F"	"NA"	TRUE
"28"	"NF55833"	2021-05-18	"28"	2021-05-18 13:00:19	5	38.744549	-8.975467	68.25	4.04	"P01902"	"F"	"NA"	TRUE
"29"	"NF55833"	2021-05-18	"29"	2021-05-18 17:00:16	8	38.744396	-8.976459	51.25	4.02	"P01902"	"F"	"NA"	TRUE
"30"	"NF55833"	2021-05-18	"30"	2021-05-18 21:00:16	7	38.744533	-8.975671	62.5	4.02	"P01902"	"F"	"NA"	TRUE
"31"	"NF55833"	2021-05-19	"31"	2021-05-19 01:00:16	6	38.761425	-8.946567	34.5	4	"P01902"	"F"	"NA"	TRUE
"32"	"NF55833"	2021-05-19	"32"	2021-05-19 05:00:16	8	38.744526	-8.975343	41	4	"P01902"	"F"	"NA"	TRUE
"33"	"NF55833"	2021-05-19	"33"	2021-05-19 09:00:21	7	38.744408	-8.975637	51.75	4	"P01902"	"F"	"NA"	TRUE
"34"	"NF55833"	2021-05-19	"34"	2021-05-19 13:00:21	7	38.744468	-8.975485	43.75	4.02	"P01902"	"F"	"NA"	TRUE
"35"	"NF55833"	2021-05-19	"35"	2021-05-19 17:00:17	8	38.744461	-8.975544	50.25	4.04	"P01902"	"F"	"NA"	TRUE
"36"	"NF55833"	2021-05-19	"36"	2021-05-19 21:00:17	7	38.74446	-8.975587	45.25	4	"P01902"	"F"	"NA"	TRUE
"37"	"NF55833"	2021-05-20	"37"	2021-05-20 01:00:17	8	38.761562	-8.946122	45.75	4	"P01902"	"F"	"NA"	TRUE
"38"	"NF55833"	2021-05-20	"38"	2021-05-20 05:00:17	8	38.744459	-8.97543	42.5	4	"P01902"	"F"	"NA"	TRUE
"39"	"NF55833"	2021-05-20	"39"	2021-05-20 09:00:17	6	38.744461	-8.975598	68.25	4	"P01902"	"F"	"NA"	TRUE
"40"	"NF55833"	2021-05-20	"40"	2021-05-20 13:00:18	6	38.744568	-8.975488	42.75	4.02	"P01902"	"F"	"NA"	TRUE
"41"	"NF55833"	2021-05-20	"41"	2021-05-20 17:00:18	8	38.74446	-8.97628	44.25	4.02	"P01902"	"F"	"NA"	TRUE
"42"	"NF55833"	2021-05-20	"42"	2021-05-20 21:00:18	8	38.761539	-8.946135	63	4	"P01902"	"F"	"NA"	TRUE
"43"	"NF55833"	2021-05-21	"43"	2021-05-21 01:00:18	8	38.761538	-8.946771	51.25	4	"P01902"	"F"	"NA"	TRUE
"44"	"NF55833"	2021-05-21	"44"	2021-05-21 05:00:18	9	38.744514	-8.975456	43.5	4	"P01902"	"F"	"NA"	TRUE
"45"	"NF55833"	2021-05-21	"45"	2021-05-21 09:00:19	6	38.744374	-8.975656	65	4	"P01902"	"F"	"NA"	TRUE
"46"	"NF55833"	2021-05-21	"46"	2021-05-21 13:00:19	8	38.744531	-8.97557	38.75	4.02	"P01902"	"F"	"NA"	TRUE
"47"	"NF55833"	2021-05-21	"47"	2021-05-21 17:00:19	6	38.744276	-8.976209	67.25	4	"P01902"	"F"	"NA"	TRUE
"48"	"NF55833"	2021-05-21	"48"	2021-05-21 21:00:22	8	38.734804	-8.986704	66	4	"P01902"	"F"	"NA"	TRUE
"49"	"NF55833"	2021-05-22	"49"	2021-05-22 01:00:19	8	38.761485	-8.946371	45.5	3.98	"P01902"	"F"	"NA"	TRUE
