"tag_ID"	"timestamp_simple"	"fix_number"	"timestamp"	"satellites"	"latitude"	"longitude"	"elevation"	"battery"	"ring"	"sex"	"code"	"optional"
"1"	"NF55719"	2021-05-14	"01"	2021-05-14 01:00:19	7	38.744357	-8.97669	61.75	4.04	"P01903"	"M"	"NA"	TRUE
"2"	"NF55719"	2021-05-14	"02"	2021-05-14 05:00:19	8	38.744152	-8.976496	41.75	4.04	"P01903"	"M"	"NA"	TRUE
"3"	"NF55719"	2021-05-14	"03"	2021-05-14 09:00:25	6	38.748154	-8.9744	55.25	4.04	"P01903"	"M"	"NA"	TRUE
"4"	"NF55719"	2021-05-14	"04"	2021-05-14 13:00:25	5	38.744073	-8.975945	-30.75	4	"P01903"	"M"	"NA"	TRUE
"5"	"NF55719"	2021-05-14	"05"	2021-05-14 17:00:19	6	38.742217	-8.979379	-12.25	4.02	"P01903"	"M"	"NA"	TRUE
"6"	"NF55719"	2021-05-14	"06"	2021-05-14 21:00:20	7	38.749175	-8.97342	36.75	4.02	"P01903"	"M"	"NA"	TRUE
"7"	"NF55719"	2021-05-15	"07"	2021-05-15 01:00:24	8	38.744163	-8.976431	63.5	4.02	"P01903"	"M"	"NA"	TRUE
"8"	"NF55719"	2021-05-15	"08"	2021-05-15 05:00:20	8	38.744093	-8.97647	50.5	4	"P01903"	"M"	"NA"	TRUE
"9"	"NF55719"	2021-05-15	"09"	2021-05-15 09:00:20	6	38.747937	-8.974621	46.5	4	"P01903"	"M"	"NA"	TRUE
"10"	"NF55719"	2021-05-15	"10"	2021-05-15 13:00:25	9	38.748075	-8.974957	45.25	3.98	"P01903"	"M"	"NA"	TRUE
"11"	"NF55719"	2021-05-15	"11"	2021-05-15 17:00:20	8	38.744236	-8.976363	46	3.98	"P01903"	"M"	"NA"	TRUE
"12"	"NF55719"	2021-05-15	"12"	2021-05-15 21:00:20	8	38.744175	-8.976492	66.25	3.98	"P01903"	"M"	"NA"	TRUE
"13"	"NF55719"	2021-05-16	"13"	2021-05-16 01:00:20	7	38.744856	-8.977426	31	3.98	"P01903"	"M"	"NA"	TRUE
"14"	"NF55719"	2021-05-16	"14"	2021-05-16 05:00:20	8	38.744205	-8.976386	39.25	3.98	"P01903"	"M"	"NA"	TRUE
