"tag_ID"	"timestamp_simple"	"fix_number"	"timestamp"	"satellites"	"latitude"	"longitude"	"elevation"	"battery"	"ring"	"sex"	"code"	"optional"
"1"	"NF55808"	2021-05-12	"01"	2021-05-12 01:00:15	8	38.655292	-9.08238	46.5	4.08	"D59182"	"F"	"NA"	TRUE
"2"	"NF55808"	2021-05-12	"02"	2021-05-12 05:00:13	7	38.660568	-9.090579	22.5	4.08	"D59182"	"F"	"NA"	TRUE
"3"	"NF55808"	2021-05-12	"04"	2021-05-12 13:00:16	8	38.660427	-9.090673	51.75	4.08	"D59182"	"F"	"NA"	TRUE
"4"	"NF55808"	2021-05-12	"05"	2021-05-12 17:00:16	8	38.660494	-9.089746	47.75	4.08	"D59182"	"F"	"NA"	TRUE
"5"	"NF55808"	2021-05-12	"06"	2021-05-12 21:00:17	8	38.655253	-9.082176	54.25	4.08	"D59182"	"F"	"NA"	TRUE
"6"	"NF55808"	2021-05-13	"07"	2021-05-13 01:00:18	8	38.655329	-9.081576	43	4.08	"D59182"	"F"	"NA"	TRUE
"7"	"NF55808"	2021-05-13	"08"	2021-05-13 05:00:20	9	38.660409	-9.089778	38.5	4.08	"D59182"	"F"	"NA"	TRUE
"8"	"NF55808"	2021-05-13	"09"	2021-05-13 09:00:21	5	38.660371	-9.089793	39.75	4.08	"D59182"	"F"	"NA"	TRUE
"9"	"NF55808"	2021-05-13	"10"	2021-05-13 13:00:15	6	38.661001	-9.090297	55	4.08	"D59182"	"F"	"NA"	TRUE
"10"	"NF55808"	2021-05-13	"11"	2021-05-13 17:00:15	7	38.656578	-9.089476	35.25	4.08	"D59182"	"F"	"NA"	TRUE
"11"	"NF55808"	2021-05-13	"12"	2021-05-13 21:00:18	7	38.655169	-9.08376	45	4.08	"D59182"	"F"	"NA"	TRUE
"12"	"NF55808"	2021-05-14	"13"	2021-05-14 01:00:18	9	38.655547	-9.081003	46	4.08	"D59182"	"F"	"NA"	TRUE
"13"	"NF55808"	2021-05-14	"14"	2021-05-14 05:00:20	9	38.66046	-9.089756	46.5	4.08	"D59182"	"F"	"NA"	TRUE
"14"	"NF55808"	2021-05-14	"15"	2021-05-14 09:00:23	7	38.658958	-9.090842	62.75	4.08	"D59182"	"F"	"NA"	TRUE
"15"	"NF55808"	2021-05-14	"16"	2021-05-14 13:00:20	7	38.656885	-9.089763	-4.5	4.06	"D59182"	"F"	"NA"	TRUE
"16"	"NF55808"	2021-05-14	"17"	2021-05-14 17:00:16	6	38.656559	-9.089421	56.25	4.08	"D59182"	"F"	"NA"	TRUE
"17"	"NF55808"	2021-05-14	"18"	2021-05-14 21:00:17	6	38.656138	-9.080715	73.25	4.06	"D59182"	"F"	"NA"	TRUE
"18"	"NF55808"	2021-05-15	"19"	2021-05-15 01:00:19	8	38.668821	-9.038094	33.25	4.06	"D59182"	"F"	"NA"	TRUE
"19"	"NF55808"	2021-05-15	"20"	2021-05-15 05:00:19	8	38.659521	-9.091071	37.75	4.06	"D59182"	"F"	"NA"	TRUE
"20"	"NF55808"	2021-05-15	"21"	2021-05-15 09:00:24	6	38.656703	-9.089669	35.75	4.06	"D59182"	"F"	"NA"	TRUE
"21"	"NF55808"	2021-05-15	"22"	2021-05-15 13:00:17	5	38.657182	-9.091026	111.25	4.06	"D59182"	"F"	"NA"	TRUE
"22"	"NF55808"	2021-05-15	"23"	2021-05-15 17:00:20	8	38.660481	-9.090699	35.5	4.06	"D59182"	"F"	"NA"	TRUE
"23"	"NF55808"	2021-05-15	"24"	2021-05-15 21:00:18	8	38.697957	-8.971729	54.25	4.06	"D59182"	"F"	"NA"	TRUE
"24"	"NF55808"	2021-05-16	"25"	2021-05-16 01:00:20	8	38.655488	-9.081013	54.75	4.06	"D59182"	"F"	"NA"	TRUE
"25"	"NF55808"	2021-05-16	"26"	2021-05-16 05:00:18	7	38.679837	-9.058151	42.75	4.06	"D59182"	"F"	"NA"	TRUE
