"tag_ID"	"timestamp_simple"	"fix_number"	"timestamp"	"satellites"	"latitude"	"longitude"	"elevation"	"battery"	"ring"	"sex"	"code"	"optional"
"1"	"NF21200"	2021-05-20	"01"	2021-05-20 09:00:15	6	38.744131	-8.976488	48	3.81	"D59933"	"F"	"NA"	TRUE
"2"	"NF21200"	2021-05-22	"02"	2021-05-22 09:00:17	6	38.744054	-8.976382	44.25	3.83	"D59933"	"F"	"NA"	TRUE
"3"	"NF21200"	2021-05-23	"03"	2021-05-23 09:00:18	6	38.744007	-8.976372	55.75	3.83	"D59933"	"F"	"NA"	TRUE
"4"	"NF21200"	2021-05-26	"04"	2021-05-26 09:00:24	6	38.74431	-8.976642	45.75	3.83	"D59933"	"F"	"NA"	TRUE
"5"	"NF21200"	2021-05-27	"05"	2021-05-27 09:00:28	5	38.743806	-8.976118	18.25	3.83	"D59933"	"F"	"NA"	TRUE
"6"	"NF21200"	2021-05-30	"06"	2021-05-30 09:00:29	6	38.744363	-8.976691	65.5	3.83	"D59933"	"F"	"NA"	TRUE
"7"	"NF21200"	2021-06-02	"07"	2021-06-02 09:00:30	7	38.744189	-8.976477	66.75	3.83	"D59933"	"F"	"NA"	TRUE
"8"	"NF21200"	2021-06-07	"08"	2021-06-07 09:00:32	6	38.738101	-8.982331	67.5	3.88	"D59933"	"F"	"NA"	TRUE
"9"	"NF21200"	2021-06-07	"09"	2021-06-07 17:00:33	8	38.738429	-8.982263	42.5	3.88	"D59933"	"F"	"NA"	TRUE
"10"	"NF21200"	2021-06-08	"10"	2021-06-08 17:00:34	7	38.738221	-8.982283	40	3.9	"D59933"	"F"	"NA"	TRUE
"11"	"NF21200"	2021-06-09	"11"	2021-06-09 09:00:34	6	38.745809	-8.982072	67.75	3.9	"D59933"	"F"	"NA"	TRUE
"12"	"NF21200"	2021-06-09	"12"	2021-06-09 17:00:35	7	38.742097	-8.981559	35.25	3.9	"D59933"	"F"	"NA"	TRUE
"13"	"NF21200"	2021-06-10	"13"	2021-06-10 09:00:38	6	38.744334	-8.976977	97.25	3.9	"D59933"	"F"	"NA"	TRUE
"14"	"NF21200"	2021-06-10	"14"	2021-06-10 17:00:36	8	38.744581	-8.977027	39.75	3.92	"D59933"	"F"	"NA"	TRUE
"15"	"NF21200"	2021-06-12	"15"	2021-06-12 09:00:38	6	38.748254	-8.975956	53.75	3.92	"D59933"	"F"	"NA"	TRUE
"16"	"NF21200"	2021-06-13	"16"	2021-06-13 09:00:45	6	38.747487	-8.976489	51.5	3.94	"D59933"	"F"	"NA"	TRUE
"17"	"NF21200"	2021-06-13	"17"	2021-06-13 17:00:39	6	38.744891	-8.976607	-2.75	3.96	"D59933"	"F"	"NA"	TRUE
"18"	"NF21200"	2021-06-14	"18"	2021-06-14 09:00:40	6	38.744097	-8.976998	79	3.96	"D59933"	"F"	"NA"	TRUE
"19"	"NF21200"	2021-06-14	"19"	2021-06-14 17:00:40	8	38.745266	-8.976407	51.5	3.96	"D59933"	"F"	"NA"	TRUE
"20"	"NF21200"	2021-06-15	"20"	2021-06-15 09:00:40	7	38.745155	-8.976448	61	3.96	"D59933"	"F"	"NA"	TRUE
"21"	"NF21200"	2021-06-18	"21"	2021-06-18 09:00:43	7	38.738176	-8.913808	50.25	3.98	"D59933"	"F"	"NA"	TRUE
"22"	"NF21200"	2021-06-18	"22"	2021-06-18 13:00:43	7	38.738332	-8.913422	13.75	3.98	"D59933"	"F"	"NA"	TRUE
"23"	"NF21200"	2021-06-19	"23"	2021-06-19 13:00:44	8	38.738275	-8.913743	29.75	4	"D59933"	"F"	"NA"	TRUE
"24"	"NF21200"	2021-06-20	"24"	2021-06-20 13:00:45	7	38.73908	-9.001642	19.75	4	"D59933"	"F"	"NA"	TRUE
"25"	"NF21200"	2021-06-21	"25"	2021-06-21 13:00:45	6	38.738846	-9.001681	19.25	4	"D59933"	"F"	"NA"	TRUE
"26"	"NF21200"	2021-06-22	"26"	2021-06-22 09:00:46	6	38.738987	-8.999129	62.5	4.02	"D59933"	"F"	"NA"	TRUE
"27"	"NF21200"	2021-06-22	"27"	2021-06-22 13:00:49	8	38.739191	-8.999201	9.25	4.02	"D59933"	"F"	"NA"	TRUE
"28"	"NF21200"	2021-06-23	"28"	2021-06-23 09:00:47	8	38.746672	-8.979542	48.5	4.02	"D59933"	"F"	"NA"	TRUE
